,url,creator,last_modified_by,product_name,quantity,brands,brands_tags,categories,categories_tags,categories_en,labels,labels_tags,labels_en,countries,countries_tags,countries_en,ingredients_text,ingredients_tags,ingredients_analysis_tags,serving_size,pnns_groups_1,pnns_groups_2,food_groups,food_groups_tags,food_groups_en,states,states_tags,states_en,nutrient_levels_tags,popularity_tags,main_category,main_category_en,image_url,image_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,created_datetime,last_modified_datetime,last_updated_datetime,nutriscore_grade,environmental_score_grade,last_image_datetime
88,1,12,1,1,2,19,19,1,1,1,59,59,59,6,31,31,53,53,46,40,12,3,3,3,3,1,1,1,62,8,1,1,1,1,58,58,55,55,46.0,0.0,29.0,6.0,1.0,11.0
89,1,31,4,2,1,1,1,1,1,1,1,1,1,6,31,31,1,1,17,3,11,5,5,5,5,1,1,1,2,4,1,1,1,1,58,58,55,55,50.0,68.0,43.0,1.0,6.0,75.0
90,1,2,1,1,1,2,2,1,1,1,59,59,59,2,3,3,1,1,6,1,63,63,64,64,64,1,1,1,62,8,1,1,1,1,1,1,1,1,43.0,1.0,27.0,2.0,,30.0
91,1,31,27,15,38,1,1,1,1,1,1,1,1,1,5,5,1,1,17,1,63,63,64,64,64,1,1,1,62,1,1,1,1,1,1,1,1,1,49.0,22.0,3.0,6.0,,14.0
92,1,12,9,1,38,19,19,1,1,1,59,59,59,15,31,31,53,53,46,40,12,3,3,3,3,2,2,2,1,8,1,1,1,1,58,58,1,1,38.0,46.0,43.0,6.0,4.0,58.0
93,1,1,9,1,4,1,1,1,1,1,1,1,1,15,31,31,1,1,6,1,63,63,64,64,64,1,1,1,1,1,1,1,1,1,1,1,1,1,15.0,49.0,50.0,6.0,3.0,35.0
94,1,7,2,1,1,1,1,36,36,36,59,59,59,4,10,10,53,53,46,1,63,63,64,64,64,1,1,1,62,2,36,36,22,22,58,58,55,55,68.0,95.0,68.0,6.0,7.0,
95,1,31,5,15,38,19,19,1,1,1,1,1,1,2,2,2,53,53,46,40,63,63,64,64,64,1,1,1,62,1,1,1,1,1,1,1,55,55,10.0,37.0,50.0,6.0,,46.0
96,1,1,27,1,1,1,1,36,36,36,59,59,59,1,31,31,53,53,46,40,1,1,64,64,64,1,1,1,62,1,36,36,22,22,58,58,55,55,63.0,34.0,63.0,,,
97,1,31,2,1,1,1,1,2,2,2,1,1,1,15,31,31,53,53,7,1,3,3,3,3,3,1,1,1,1,1,2,2,1,1,1,1,1,1,11.0,30.0,44.0,3.0,4.0,40.0
98,1,31,27,15,38,19,19,36,36,36,2,3,3,3,10,10,53,53,7,40,63,63,64,64,64,1,1,1,62,20,36,36,22,22,58,58,55,55,36.0,23.0,9.0,6.0,7.0,9.0
99,1,31,7,1,1,1,1,1,1,1,1,1,1,3,5,5,1,1,3,12,3,1,1,1,1,2,2,2,2,1,6,6,1,1,1,1,1,1,32.0,48.0,50.0,6.0,,51.0
